MP NAME,WORK,CATEGORY,STATE,CONSTITUENCY,IDA,CITY,WARD,BLOCK,VILLAGE,RECOMMENDED DATE,ALLOCATION AMOUNT,IDA APPROVAL,STATUS,HOUSE,,,,,,
SH Dhiraj Prasad Sahu,NA - Construction of culverts and bridges,Normal/Others,Jharkhand,Sitting Rajya Sabha,DEPUTY COMMISSIONER GUMLA_IDA,,,Ghaghra,Adar,03-03-2024,500000,Action Pending,Unsanctioned,Rajya Sabha,,,,,,
SH Dhiraj Prasad Sahu,NA - Construction of buildings for community cultural activities,Normal/Others,Jharkhand,Sitting Rajya Sabha,DEPUTY COMMISSIONER GUMLA_IDA,,,Ghaghra,Adar,03-03-2024,600000,Action Pending,Unsanctioned,Rajya Sabha,,,,,,
Dr Sikander Kumar,NA - Lighting of public spaces,Normal/Others,Himachal Pradesh,Sitting Rajya Sabha,DEPUTY COMMISSIONER HAMIRPUR_IDA,,,Nadaun,Dhaneta (17/7),03-03-2024,16300,Action Pending,Unsanctioned,Rajya Sabha,,,,,,
SHRI Rajeev Chandrashekhar,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
SHRI Rajeev Chandrashekhar,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Smt Ranjeeta Koli,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Rahul Kaswan,NA - Improvement of electricity distribution infrastructure,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Rajgarh,Bhuwari,03-03-2024,280000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Smt Ranjeeta Koli,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
SHRI Rajeev Chandrashekhar,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
SHRI Rajeev Chandrashekhar,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
SHRI Rajeev Chandrashekhar,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Rahul Kaswan,NA - Construction of rooms and halls in school and colleges,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Sardarshahar,Gajoosar,03-03-2024,850000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
SHRI Rajeev Chandrashekhar,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Rahul Kaswan,NA - Construction of rooms and halls in school and colleges,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Sardarshahar,Bhojrasar,03-03-2024,1000000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Smt Ranjeeta Koli,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
Smt Ranjeeta Koli,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
